Transaction_ID,Customer_ID,Customer_Age,Gender,Product_Category,Purchase_Amount,Payment_Method,Transaction_Date,Satisfaction_Score
TXN-1000,CUST-106,30,M,,INVALID,PayPal,2023-02-20,1.0
TXN-1001,CUST-119,,Male,ELECTRONICS,$150.50,PayPal,2023-02-20,4.0
TXN-1002,CUST-128,30, female ,Clothing,89.99,Cash,INVALID_DATE,1.0
TXN-1003,CUST-114,120,Female,elec,,Credit Card,15/01/2023,4.0
TXN-1004,CUST-110,34,,,89.99,credit card,INVALID_DATE,10.0
TXN-1005,CUST-107,25,Female,elec,$150.50,Credit Card,15/01/2023,1.0
TXN-1006,CUST-128,,Female,clothing ,$45.00,Credit Card,2023-02-20,2.0
TXN-1007,CUST-120,,,elec,$150.50,Credit Card,2023-02-20,
TXN-1008,CUST-106,120,M,clothing ,$1200.00,,INVALID_DATE,
TXN-1009,CUST-125,52, female ,Home & Kitchen,$150.50,PayPal,INVALID_DATE,5.0
TXN-1010,CUST-118,45,Male,,$150.50,Credit Card,15/01/2023,
TXN-1011,CUST-122,120,F,,$1200.00,PayPal,2023-03-10,3.0
TXN-1012,CUST-110,-5,Male,Electronics,INVALID,Cash,15/01/2023,10.0
TXN-1013,CUST-110,45,F,Clothing,$150.50,credit card,INVALID_DATE,4.0
TXN-1014,CUST-123,25,Male,clothing ,$1200.00,Cash,,5.0
TXN-1015,CUST-120,45,,Electronics,,Cash,INVALID_DATE,3.0
TXN-1016,CUST-103,52, female ,elec,$45.00,,,3.0
TXN-1017,CUST-107,45,F,elec,$45.00,credit card,2023-01-15,1.0
TXN-1018,CUST-123,25,M,Electronics,$150.50,Cash,INVALID_DATE,
TXN-1019,CUST-102,52,Male,,INVALID,Cash,2023-01-15,2.0
TXN-1020,CUST-121,,Male,elec,INVALID,credit card,2023-03-10,2.0
TXN-1021,CUST-120,,F,Home & Kitchen,,credit card,15/01/2023,5.0
TXN-1022,CUST-101,30,M,Home & Kitchen,$150.50,Cash,,10.0
TXN-1023,CUST-123,45,M,Electronics,$45.00,credit card,15/01/2023,2.0
TXN-1024,CUST-111,,,clothing ,INVALID,Cash,2023-01-15,4.0
TXN-1025,CUST-129,25,,clothing ,$150.50,Cash,,2.0
TXN-1026,CUST-105,19,,Electronics,89.99,,15/01/2023,5.0
TXN-1027,CUST-101,19,,clothing ,INVALID,Credit Card,INVALID_DATE,2.0
TXN-1028,CUST-127,52,,,$1200.00,Cash,2023-02-20,4.0
TXN-1029,CUST-120,,,,89.99,PayPal,2023-01-15,1.0
TXN-1030,CUST-100,, female ,clothing ,INVALID,Credit Card,15/01/2023,10.0
TXN-1031,CUST-111,19,M,Home & Kitchen,$45.00,Credit Card,2023-01-15,5.0
TXN-1032,CUST-125,,,clothing ,299.99,Credit Card,2023-01-15,1.0
TXN-1033,CUST-121,45,M,,89.99,,,1.0
