Order_ID,Order_Date,Region,Segment,Category,Sub_Category,Sales,Quantity,Discount,Profit,Shipping_Cost,Customer_Rating
ORD-2024000,2023-01-01,South,Home Office,Furniture,Furnishings,1116.01,9,0.0,3361.8,62.91,4
ORD-2024001,2023-01-02,West,Consumer,Furniture,Bookcases,746.15,4,0.3,243.56,44.23,4
ORD-2024002,2023-01-03,North,Consumer,Technology,Accessories,657.12,3,0.0,327.6,46.68,5
ORD-2024003,2023-01-04,North,Corporate,Technology,Tablets,405.6,9,0.1,940.19,25.17,5
ORD-2024004,2023-01-05,North,Home Office,Furniture,Furnishings,60.54,8,0.0,138.51,13.81,4
ORD-2024005,2023-01-06,South,Corporate,Office Supplies,Binders,1915.9,8,0.1,4322.57,103.55,2
ORD-2024006,2023-01-07,North,Consumer,Technology,Smartphones,768.57,6,0.0,1403.62,52.2,4
ORD-2024007,2023-01-08,East,Home Office,Office Supplies,Paper,178.45,9,0.5,158.53,13.56,4
ORD-2024008,2023-01-09,West,Consumer,Office Supplies,Storage,160.55,5,0.1,128.27,14.88,3
ORD-2024009,2023-01-10,South,Consumer,Technology,Laptops,583.25,8,0.1,739.9,39.63,4
ORD-2024010,2023-01-11,West,Corporate,Furniture,Furnishings,40.93,7,0.0,54.52,8.89,2
ORD-2024011,2023-01-12,North,Home Office,Technology,Accessories,1336.92,5,0.0,2077.77,78.23,5
ORD-2024012,2023-01-13,North,Consumer,Technology,Smartphones,471.28,8,0.0,833.5,27.91,4
ORD-2024013,2023-01-14,South,Consumer,Office Supplies,Appliances,28.26,9,0.15,36.39,4.36,4
ORD-2024014,2023-01-15,East,Consumer,Office Supplies,Binders,338.33,3,0.0,273.99,24.29,3
ORD-2024015,2023-01-16,East,Consumer,Technology,Accessories,83.99,6,0.0,93.75,15.62,3
ORD-2024016,2023-01-17,South,Corporate,Technology,Accessories,1158.99,9,0.3,1145.98,69.06,5
ORD-2024017,2023-01-18,South,Corporate,Furniture,Tables,749.43,1,0.15,132.59,51.89,4
ORD-2024018,2023-01-19,South,Consumer,Office Supplies,Binders,407.54,9,0.0,1076.7,29.84,4
ORD-2024019,2023-01-20,West,Corporate,Technology,Laptops,76.3,6,0.2,96.99,7.27,5
ORD-2024020,2023-01-21,West,Corporate,Furniture,Chairs,112.9,6,0.2,110.36,15.56,4
ORD-2024021,2023-01-22,East,Consumer,Furniture,Tables,34.98,4,0.15,35.48,12.82,5
ORD-2024022,2023-01-23,South,Consumer,Technology,Laptops,721.74,3,0.1,279.29,43.99,4
ORD-2024023,2023-01-24,West,Consumer,Technology,Laptops,198.22,5,0.15,173.15,13.74,5
ORD-2024024,2023-01-25,South,Consumer,Technology,Laptops,359.63,5,0.1,313.74,31.02,4
ORD-2024025,2023-01-26,East,Corporate,Office Supplies,Paper,1356.04,1,0.1,185.49,77.34,5
ORD-2024026,2023-01-27,West,Consumer,Furniture,Bookcases,71.28,8,0.1,161.69,6.22,3
ORD-2024027,2023-01-28,West,Consumer,Furniture,Bookcases,36.9,2,0.0,21.26,8.62,2
ORD-2024028,2023-01-29,North,Consumer,Office Supplies,Binders,360.61,5,0.3,207.14,23.96,5
ORD-2024029,2023-01-30,North,Consumer,Furniture,Bookcases,561.75,8,0.0,843.81,40.4,3
ORD-2024030,2023-01-31,South,Corporate,Office Supplies,Storage,97.7,5,0.2,97.04,17.27,5
ORD-2024031,2023-02-01,West,Consumer,Office Supplies,Binders,154.6,4,0.15,151.4,11.97,4
ORD-2024032,2023-02-02,South,Corporate,Furniture,Tables,546.31,7,0.5,424.94,38.44,5
ORD-2024033,2023-02-03,East,Consumer,Technology,Smartphones,351.03,2,0.0,245.51,19.84,4
ORD-2024034,2023-02-04,South,Corporate,Office Supplies,Storage,223.89,4,0.2,144.9,16.05,4
ORD-2024035,2023-02-05,North,Corporate,Technology,Smartphones,836.99,2,0.1,437.14,44.61,3
ORD-2024036,2023-02-06,South,Consumer,Office Supplies,Paper,577.87,6,0.0,533.57,39.0,4
ORD-2024037,2023-02-07,South,Home Office,Office Supplies,Binders,175.21,7,0.0,217.57,22.26,3
ORD-2024038,2023-02-08,South,Consumer,Furniture,Chairs,135.62,8,0.0,241.83,16.36,3
ORD-2024039,2023-02-09,East,Consumer,Office Supplies,Storage,285.66,3,0.2,108.74,29.2,5
ORD-2024040,2023-02-10,East,Consumer,Technology,Laptops,219.8,7,0.1,255.51,25.62,4
ORD-2024041,2023-02-11,South,Home Office,Technology,Smartphones,295.88,7,0.0,473.34,25.23,5
ORD-2024042,2023-02-12,East,Consumer,Office Supplies,Binders,78.48,9,0.1,136.21,7.11,3
ORD-2024043,2023-02-13,East,Corporate,Office Supplies,Storage,35.98,7,0.0,77.66,10.54,4
ORD-2024044,2023-02-14,South,Home Office,Technology,Accessories,789.28,2,0.0,448.29,47.34,4
ORD-2024045,2023-02-15,East,Home Office,Technology,Tablets,1122.51,8,0.2,918.78,63.21,5
ORD-2024046,2023-02-16,South,Consumer,Furniture,Tables,149.55,5,0.2,88.58,11.81,4
ORD-2024047,2023-02-17,South,Consumer,Technology,Accessories,70.63,8,0.0,161.66,17.35,4
ORD-2024048,2023-02-18,North,Consumer,Office Supplies,Appliances,106.49,2,0.0,37.7,19.64,2
ORD-2024049,2023-02-19,North,Consumer,Furniture,Chairs,613.91,9,0.0,1921.53,37.05,3
ORD-2024050,2023-02-20,West,Consumer,Furniture,Bookcases,2249.02,1,0.3,-192.41,115.35,4
ORD-2024051,2023-02-21,North,Consumer,Furniture,Tables,40.33,8,0.3,47.02,8.94,3
ORD-2024052,2023-02-22,North,Corporate,Technology,Accessories,249.1,9,0.1,295.55,21.63,5
ORD-2024053,2023-02-23,West,Consumer,Technology,Smartphones,40.57,5,0.5,8.76,12.85,5
ORD-2024054,2023-02-24,East,Consumer,Furniture,Bookcases,32.15,2,0.2,10.8,13.94,5
ORD-2024055,2023-02-25,North,Corporate,Technology,Smartphones,631.47,2,0.2,73.29,37.95,3
ORD-2024056,2023-02-26,East,Corporate,Furniture,Furnishings,60.98,9,0.0,106.39,15.13,3
