Customer_ID,Age,Gender,Location_Type,Recency_Days,Frequency_Orders,Monetary_Spend
CUST-1000,56,Female,Urban,110,9,1502.5
CUST-1001,40,Male,Rural,241,5,737.05
CUST-1002,19,Female,Rural,28,8,2564.85
CUST-1003,39,Male,Urban,51,11,950.57
CUST-1004,33,Male,Urban,144,6,1766.35
CUST-1005,20,Female,Suburban,27,7,1730.64
CUST-1006,31,Female,Urban,20,22,3891.42
CUST-1007,61,Female,Urban,89,2,198.8
CUST-1008,59,Female,Urban,83,2,188.3
CUST-1009,53,Female,Rural,23,15,4455.87
CUST-1010,62,Male,Suburban,54,4,955.53
CUST-1011,62,Male,Rural,225,9,2167.83
CUST-1012,34,Female,Suburban,320,4,908.56
CUST-1013,24,Female,Urban,23,12,4053.62
CUST-1014,57,Male,Suburban,56,9,1618.7
CUST-1015,22,Female,Suburban,18,10,1113.05
CUST-1016,59,Male,Urban,91,1,228.0
CUST-1017,47,Male,Suburban,38,7,1731.42
CUST-1018,24,Male,Urban,84,2,271.69
CUST-1019,23,Male,Urban,20,11,1568.93
CUST-1020,45,Male,Rural,36,9,600.62
CUST-1021,30,Female,Urban,18,9,866.53
CUST-1022,68,Male,Urban,24,16,2913.43
CUST-1023,66,Male,Urban,202,7,1212.71
CUST-1024,34,Male,Rural,32,8,1014.09
CUST-1025,18,Male,Urban,41,9,890.47
CUST-1026,21,Male,Urban,47,11,1164.36
CUST-1027,51,Female,Suburban,1,16,2622.73
CUST-1028,23,Female,Rural,45,6,1453.38
CUST-1029,36,Male,Urban,167,3,377.86
CUST-1030,18,Female,Suburban,40,9,1434.94
CUST-1031,24,Female,Suburban,149,3,1135.33
CUST-1032,65,Female,Suburban,48,1,172.22
CUST-1033,65,Female,Rural,42,11,1621.11
CUST-1034,66,Male,Rural,316,8,2392.24
CUST-1035,42,Male,Urban,44,11,1793.35
CUST-1036,53,Female,Urban,29,11,1379.56
CUST-1037,24,Female,Urban,31,10,900.55
CUST-1038,47,Female,Urban,66,3,328.18
CUST-1039,47,Female,Suburban,100,3,250.2
CUST-1040,66,Male,Rural,55,8,1660.19
CUST-1041,58,Female,Urban,184,5,2464.6
CUST-1042,69,Male,Urban,106,2,244.88
CUST-1043,48,Female,Rural,18,22,4965.19
CUST-1044,19,Male,Urban,49,4,763.95
CUST-1045,65,Female,Urban,59,4,1333.82
CUST-1046,24,Female,Suburban,231,6,2295.91
CUST-1047,32,Male,Urban,140,3,979.07
CUST-1048,39,Female,Urban,6,22,2760.67
CUST-1049,54,Female,Suburban,14,10,702.42
CUST-1050,62,Male,Urban,233,7,2445.17
