Title,Price_GBP,Rating_Stars,In_Stock,Availability,Source_Url
A Light in the Attic,51.77,3,True,In stock,http://books.toscrape.com/catalogue/page-1.html
Tipping the Velvet,53.74,1,True,In stock,http://books.toscrape.com/catalogue/page-1.html
Soumission,50.1,1,True,In stock,http://books.toscrape.com/catalogue/page-1.html
Sharp Objects,47.82,4,True,In stock,http://books.toscrape.com/catalogue/page-1.html
Sapiens: A Brief History of Humankind,54.23,5,True,In stock,http://books.toscrape.com/catalogue/page-1.html
The Requiem Red,22.65,1,True,In stock,http://books.toscrape.com/catalogue/page-1.html
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,True,In stock,http://books.toscrape.com/catalogue/page-1.html
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,True,In stock,http://books.toscrape.com/catalogue/page-1.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,True,In stock,http://books.toscrape.com/catalogue/page-1.html
The Black Maria,52.15,1,True,In stock,http://books.toscrape.com/catalogue/page-1.html
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,True,In stock,http://books.toscrape.com/catalogue/page-1.html
Shakespeare's Sonnets,20.66,4,True,In stock,http://books.toscrape.com/catalogue/page-1.html
Set Me Free,17.46,5,True,In stock,http://books.toscrape.com/catalogue/page-1.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,True,In stock,http://books.toscrape.com/catalogue/page-1.html
Rip it Up and Start Again,35.02,5,True,In stock,http://books.toscrape.com/catalogue/page-1.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,True,In stock,http://books.toscrape.com/catalogue/page-1.html
Olio,23.88,1,True,In stock,http://books.toscrape.com/catalogue/page-1.html
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,True,In stock,http://books.toscrape.com/catalogue/page-1.html
Libertarianism for Beginners,51.33,2,True,In stock,http://books.toscrape.com/catalogue/page-1.html
It's Only the Himalayas,45.17,2,True,In stock,http://books.toscrape.com/catalogue/page-1.html
In Her Wake,12.84,1,True,In stock,http://books.toscrape.com/catalogue/page-2.html
How Music Works,37.32,2,True,In stock,http://books.toscrape.com/catalogue/page-2.html
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,True,In stock,http://books.toscrape.com/catalogue/page-2.html
Chase Me (Paris Nights #2),25.27,5,True,In stock,http://books.toscrape.com/catalogue/page-2.html
